A [N+Z]    E_n [MeV]
   16     -2.7246554
   17      0.0000000
   18      0.0000000
   19      0.0000000
   20      0.0000000
   21     -6.4618754
   22      0.0000000
   23      0.0000000
   24      0.0000000
   25      0.0000000
   26     -9.6291054
   27      0.0000000
   28      0.0000000
   29      0.0000000
   30      0.0000000
   31    -10.5049645
   32      0.0000000
   33      0.0000000
   34      0.0000000
   35      0.0000000
   37    -13.2980055
   40      0.0000000
   39      0.0000000
   41      0.0000000
   40      0.0000000
   42    -13.4174696
   44      0.0000000
   45      0.0000000
   48      0.0000000
   51      0.0000000
   52    -16.1486415
   54      0.0000000
   55      0.0000000
   56      0.0000000
   58      0.0000000
   59    -17.0912624
   60      0.0000000
   62      0.0000000
   64      0.0000000
   63      0.0000000
   65    -18.7646390
   64      0.0000000
   66      0.0000000
   68      0.0000000
   70      0.0000000
   69    -19.0279658
   71      0.0000000
   70      0.0000000
   72      0.0000000
   74      0.0000000
   75    -19.6667515
   76      0.0000000
   78      0.0000000
   80      0.0000000
   82      0.0000000
   79    -19.8214802
   81      0.0000000
   82      0.0000000
   84      0.0000000
   85      0.0000000
   87    -21.5375900
   86      0.0000000
   88      0.0000000
   89      0.0000000
   90      0.0000000
   91    -20.4123161
   92      0.0000000
   94      0.0000000
   93      0.0000000
   96      0.0000000
   99    -21.6575989
  100      0.0000000
  102      0.0000000
  103      0.0000000
  106      0.0000000
  108    -22.0754261
  107      0.0000000
  109      0.0000000
  110      0.0000000
  112      0.0000000
  114    -23.1974137
  116      0.0000000
  115      0.0000000
  117      0.0000000
  118      0.0000000
  120    -23.3870132
  122      0.0000000
  124      0.0000000
  121      0.0000000
  123      0.0000000
  126    -23.5430653
  127      0.0000000
  128      0.0000000
  130      0.0000000
  133      0.0000000
  134    -23.3372434
  136      0.0000000
  139      0.0000000
  140      0.0000000
  142      0.0000000
  143    -23.4737112
  144      0.0000000
  146      0.0000000
  149      0.0000000
  150      0.0000000
  152    -24.4805598
  153      0.0000000
  156      0.0000000
  158      0.0000000
  159      0.0000000
  162    -24.3591565
  164      0.0000000
  165      0.0000000
  168      0.0000000
  170      0.0000000
  171    -24.3713668
  174      0.0000000
  176      0.0000000
  175      0.0000000
  177      0.0000000
  178    -24.1907149
  180      0.0000000
  181      0.0000000
  184      0.0000000
  187      0.0000000
  190    -24.1352720
  192      0.0000000
  192      0.0000000
  196      0.0000000
  198      0.0000000
  197    -23.9201595
  200      0.0000000
  202      0.0000000
  203      0.0000000
  205      0.0000000
  204    -23.6959366
  206      0.0000000
  208      0.0000000
  209      0.0000000
  210      0.0000000
  213    -23.6001809
  222      0.0000000
