A [N+Z]    E_n [MeV]
   16    -13.4420584
   17      0.0000000
   18      0.0000000
   19      0.0000000
   20      0.0000000
   21    -16.9191697
   22      0.0000000
   23      0.0000000
   24      0.0000000
   25      0.0000000
   26    -19.3649891
   27      0.0000000
   28      0.0000000
   29      0.0000000
   30      0.0000000
   31    -22.6230267
   32      0.0000000
   33      0.0000000
   34      0.0000000
   35      0.0000000
   37    -24.2750471
   40      0.0000000
   39      0.0000000
   41      0.0000000
   40      0.0000000
   42    -26.7488035
   44      0.0000000
   45      0.0000000
   48      0.0000000
   51      0.0000000
   52    -28.5657072
   54      0.0000000
   55      0.0000000
   56      0.0000000
   58      0.0000000
   59    -30.0246253
   60      0.0000000
   62      0.0000000
   64      0.0000000
   63      0.0000000
   65    -30.2156037
   64      0.0000000
   66      0.0000000
   68      0.0000000
   70      0.0000000
   69    -30.8442220
   71      0.0000000
   70      0.0000000
   72      0.0000000
   74      0.0000000
   75    -31.6935704
   76      0.0000000
   78      0.0000000
   80      0.0000000
   82      0.0000000
   79    -32.2061510
   81      0.0000000
   82      0.0000000
   84      0.0000000
   85      0.0000000
   87    -32.2190480
   86      0.0000000
   88      0.0000000
   89      0.0000000
   90      0.0000000
   91    -33.5366610
   92      0.0000000
   94      0.0000000
   93      0.0000000
   96      0.0000000
   99    -33.3689953
  100      0.0000000
  102      0.0000000
  103      0.0000000
  106      0.0000000
  108    -34.1009043
  107      0.0000000
  109      0.0000000
  110      0.0000000
  112      0.0000000
  114    -33.6130535
  116      0.0000000
  115      0.0000000
  117      0.0000000
  118      0.0000000
  120    -34.0130356
  122      0.0000000
  124      0.0000000
  121      0.0000000
  123      0.0000000
  126    -34.3831678
  127      0.0000000
  128      0.0000000
  130      0.0000000
  133      0.0000000
  134    -34.8360141
  136      0.0000000
  139      0.0000000
  140      0.0000000
  142      0.0000000
  143    -35.2973960
  144      0.0000000
  146      0.0000000
  149      0.0000000
  150      0.0000000
  152    -34.7719065
  153      0.0000000
  156      0.0000000
  158      0.0000000
  159      0.0000000
  162    -35.1889661
  164      0.0000000
  165      0.0000000
  168      0.0000000
  170      0.0000000
  171    -35.5308375
  174      0.0000000
  176      0.0000000
  175      0.0000000
  177      0.0000000
  178    -35.7775199
  180      0.0000000
  181      0.0000000
  184      0.0000000
  187      0.0000000
  190    -36.1661867
  192      0.0000000
  192      0.0000000
  196      0.0000000
  198      0.0000000
  197    -36.3751877
  200      0.0000000
  202      0.0000000
  203      0.0000000
  205      0.0000000
  204    -36.5725469
  206      0.0000000
  208      0.0000000
  209      0.0000000
  210      0.0000000
  213    -36.8107582
  222      0.0000000
